"country","decimalLatitude","decimalLongitude","Site","yearCollected","monthCollected","dayCollected","date","date_t1","date_t2","genus","species","scientific","susceptibility","BdDetected","BsalDetected","fatal","sppAbun","siteAbun","richness","alphadiv","soilMoisture_date","soilMoisture_date_t1","soilMoisture_date_t2","temp_date","temp_date_t1","temp_date_t2"
"Belgium",50.492301,4.95521,190,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,21,21,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",49.825593,5.729159,57,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,15,15,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.957724,3.724506,318,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.957724,3.724506,318,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.957724,3.724506,318,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.46889,5.74459,189,2019,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,12,12,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.46889,5.74459,189,2018,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,12,12,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.46889,5.74459,189,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,50,50,1,0.693147180559945,NA,NA,NA,NA,NA,NA
"Belgium",50.582561,5.769036971,214,2020,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","1",NA,1,1,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.64458,3.954857,238,NA,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.67638,4.59534,247,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,19,19,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.977754,3.906544,320,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.977754,3.906544,320,2016,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.977754,3.906544,320,2015,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
"Belgium",50.769532,3.936635,302,2017,NA,NA,NA,NA,NA,"Salamandra","salamandra","Salamandra salamandra",3,"0","0",NA,30,30,1,0,NA,NA,NA,NA,NA,NA
