principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Steven Allain,United Kingdom,"Cambridge, England",2017,,,17A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM271053e3e7a4e405403886ecb0221cdf8,https://n2t.net/ark:/21547/DTL217A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,18A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM21ac68dd757ca3c3f81204d40de3eae0b,https://n2t.net/ark:/21547/DTL218A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,19A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2cbafd04559d6081423fa81771be05b9f,https://n2t.net/ark:/21547/DTL219A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,20A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM282b52ba0f7e0a6e7ac7846e7a4388e7a,https://n2t.net/ark:/21547/DTL220A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,21A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,6,28,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM29b209b0cec41c45040b5449d6cb9d232,https://n2t.net/ark:/21547/DTL221A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,42A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,4,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,larva,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM27a3f5a7d8e914c448569708ae1c596d5,https://n2t.net/ark:/21547/DTL242A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,41A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,4,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,larva,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM259f6bc600a0f790319c64c767efc10f6,https://n2t.net/ark:/21547/DTL241A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,40A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,4,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,larva,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2e30e4eb321812805d6ca8e9163b88a09,https://n2t.net/ark:/21547/DTL240A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,39A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,8,4,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,larva,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM2dfc425fb74dfea3aaacbcdb37488828b,https://n2t.net/ark:/21547/DTL239A,cambridge,248
Steven Allain,United Kingdom,"Cambridge, England",2017,,,13A,LivingSpecimen,Alytes,obstetricans,external Swab,,Bd,FALSE,NA,NA,NA,FALSE,5,23,,,,ZSL London Zoo,,,,,,,,100,,52,,,,,,,Steven Allain,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DTM293cec034841eed03ee872ce55b19c722,https://n2t.net/ark:/21547/DTL213A,cambridge,248
