principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Alessandro Catenazzi,Italy,Italy,2013,,,24.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2ce060cd47c04a2294d8ced95d3bcac5f,https://n2t.net/ark:/21547/DSv224.13,bsal-tri,243
Alessandro Catenazzi,Italy,Italy,2013,,,21.13,LivingSpecimen,Salamandra,salamandra,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,12,20,,,,,,,,,,,,30,,290,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw26685c982283d4a0b198329fe65431ede,https://n2t.net/ark:/21547/DSv221.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,191.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,1,28,,,,,,,,,,,,30,,1010,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw208d38133c30bb20346d8104917cbfd93,https://n2t.net/ark:/21547/DSv2191.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1440.14,LivingSpecimen,Plethodon,teyahalee,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1070,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw28c54afcf7d2dde3e3df748dae0e606e0,https://n2t.net/ark:/21547/DSv21440.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2014,,,144.14,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,1,27,,,,,,,,,,,,30,,655,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,male,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw261979b024467f45b4f9ef7cdf867c21d,https://n2t.net/ark:/21547/DSv2144.14,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V146.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,6,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw27c450957848a7739baaa24fe187e9997,https://n2t.net/ark:/21547/DSv2V146.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V85.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,6,24,,,,,,,,,,,,30,,550,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2fafe60e75f5451701f44fdebcae32a93,https://n2t.net/ark:/21547/DSv2V85.13,bsal-tri,243
Alessandro Catenazzi,Peru,Peru,2013,,,V142.13,LivingSpecimen,Bolitoglossa,caldwellae,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,7,6,,,,,,,,,,,,30,,560,,,,,,,Ethan Baruch & Alessandro Catenazzi,,,,,,,,,adult,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw25fe92e9a0b4dadb8051936abb390ccfd,https://n2t.net/ark:/21547/DSv2V142.13,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1438.14,LivingSpecimen,Desmognathus,monticola,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,juvenile,,not determined,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw2a200fbc9080842a32961823eb477b4e2,https://n2t.net/ark:/21547/DSv21438.14,bsal-tri,243
Alessandro Catenazzi,USA,USA,2014,,,1431.14,LivingSpecimen,Desmognathus,quadramaculatus,swabbing,,Bsal,NA,FALSE,NA,0,FALSE,10,25,,,,,,,,,,,,30,,1117,,,,,,,Alessandro Catenazzi,,,,,,,,,adult,,female,,,,,,,,,,,,released,,,,,,,,,,,,,,,,,,,,,,https://n2t.net/ark:/21547/DSw260329ed940a74e5bd95a565a28db86f4,https://n2t.net/ark:/21547/DSv21431.14,bsal-tri,243
