Lat,Lon,timepoint,year,month,day,SOILMOIST_kgm-21,SURFTEMP_K1
49.763169,6.611662,t20,"2014","7","12",5.85881948471069,
49.763169,6.611662,t19,"2014","7","13",6.03477239608765,
49.763169,6.611662,t18,"2014","7","14",5.76836824417114,
49.763169,6.611662,t17,"2014","7","15",5.68853616714478,
49.763169,6.611662,t16,"2014","7","16",5.62783432006836,
49.763169,6.611662,t15,"2014","7","17",5.56990003585815,
49.763169,6.611662,t14,"2014","7","18",5.48445796966553,
49.763169,6.611662,t13,"2014","7","19",5.41968488693237,
49.763169,6.611662,t12,"2014","7","20",5.56541967391968,
49.763169,6.611662,t11,"2014","7","21",5.84753274917603,
49.763169,6.611662,t10,"2014","7","22",5.64915800094604,
49.763169,6.611662,t9,"2014","7","23",5.54239749908447,
49.763169,6.611662,t8,"2014","7","24",5.53233480453491,
49.763169,6.611662,t7,"2014","7","25",5.59377717971802,
49.763169,6.611662,t4,"2014","7","28",5.63507080078125,
49.763169,6.611662,t0,"2014","8",true,5.47647523880005,
50.70277,6.417944,t30,"2014","8","2",5.7388129234314,
50.70277,6.417944,t28,"2014","8","4",5.88732242584229,
50.70277,6.417944,t27,"2014","8","5",5.74728202819824,
50.70277,6.417944,t26,"2014","8","6",5.76472091674805,
50.70277,6.417944,t25,"2014","8","7",5.72314310073853,
50.70277,6.417944,t24,"2014","8","8",5.92052221298218,
50.70277,6.417944,t23,"2014","8","9",5.75725221633911,
50.70277,6.417944,t30,"2014","8","10",6.0131139755249,
50.70277,6.417944,t22,"2014","8","10",6.0131139755249,
50.70277,6.417944,t21,"2014","8","11",5.76315307617188,
50.70277,6.417944,t28,"2014","8","12",5.76902437210083,
50.70277,6.417944,t20,"2014","8","12",5.76902437210083,
50.70277,6.417944,t27,"2014","8","13",5.90974426269531,
50.70277,6.417944,t19,"2014","8","13",5.90974426269531,
50.70277,6.417944,t26,"2014","8","14",5.8778247833252,
50.70277,6.417944,t18,"2014","8","14",5.8778247833252,
50.70277,6.417944,t25,"2014","8","15",5.96986532211304,
50.70277,6.417944,t17,"2014","8","15",5.96986532211304,
50.70277,6.417944,t24,"2014","8","16",5.81732988357544,
50.70277,6.417944,t16,"2014","8","16",5.81732988357544,
50.70277,6.417944,t23,"2014","8","17",5.76263236999512,
50.70277,6.417944,t15,"2014","8","17",5.76263236999512,
50.70277,6.417944,t14,"2014","8","18",5.79242420196533,
50.70277,6.417944,t22,"2014","8","18",5.79242420196533,
50.70277,6.417944,t21,"2014","8","19",5.79242277145386,
50.70277,6.417944,t13,"2014","8","19",5.79242277145386,
50.70277,6.417944,t20,"2014","8","20",5.7986536026001,
50.70277,6.417944,t12,"2014","8","20",5.7986536026001,
50.70277,6.417944,t19,"2014","8","21",5.73260545730591,
50.70277,6.417944,t11,"2014","8","21",5.73260545730591,
50.70277,6.417944,t10,"2014","8","22",5.74311447143555,
50.70277,6.417944,t18,"2014","8","22",5.74311447143555,
50.70277,6.417944,t17,"2014","8","23",5.82516956329346,
50.70277,6.417944,t9,"2014","8","23",5.82516956329346,
50.70277,6.417944,t16,"2014","8","24",5.74007034301758,
50.70277,6.417944,t8,"2014","8","24",5.74007034301758,
50.70277,6.417944,t7,"2014","8","25",6.03265237808228,
50.70277,6.417944,t15,"2014","8","25",6.03265237808228,
50.70277,6.417944,t14,"2014","8","26",6.48468017578125,
50.70277,6.417944,t13,"2014","8","27",5.97421836853027,
50.70277,6.417944,t4,"2014","8","28",5.9131031036377,
50.70277,6.417944,t12,"2014","8","28",5.9131031036377,
50.70277,6.417944,t11,"2014","8","29",5.92136383056641,
50.70277,6.417944,t10,"2014","8","30",5.90854215621948,
50.70277,6.417944,t9,"2014","8","31",5.90201616287231,
50.70277,6.417944,t0,"2014","9",true,5.85140180587769,
50.70277,6.417944,t8,"2014","9",true,5.85140180587769,
50.70277,6.417944,t7,"2014","9","2",5.80466365814209,
50.70277,6.417944,t4,"2014","9","5",5.75507640838623,
