principalInvestigator,country,locality,yearCollected,decimalLatitude,decimalLongitude,materialSampleID,basisOfRecord,genus,specificEpithet,sampleType,testMethod,diseaseTested,BdDetected,BsalDetected,BdLoad,BsalLoad,fatal,monthCollected,dayCollected,quantityDetected,dilutionFactor,cycleTimeFirstDetection,diagnosticLab,continentOcean,stateProvince,municipality,county,locationRemarks,verbatimEventDate,horizontalDatum,coordinateUncertaintyInMeters,georeferenceProtocol,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,locationID,habitat,eventRemarks,collectorList,occurrenceID,institutionCode,collectionCode,catalogNumber,otherCatalogNumbers,fieldNumber,infraspecificEpithet,taxonRemarks,lifeStage,establishmentMeans,sex,associatedReferences,occurrenceRemarks,individualCount,weightUnits,weight,lengthUnits,length,organismRemarks,diseaseLineage,geFALSEtypeMethod,diseaseTestedPositiveCount,specimenDisposition,zeScore,measurementRemarks,tissueID,tissueType,tissuePlate,tissueWell,tissueCatalogNumber,tissueBarcode,tissueInstitution,tissueOtherCatalogNumbers,tissueSamplingYear,tissueSamplingMonth,tissueSamplingDay,tissueRecordedBy,tissueContainer,tissuePreservative,associatedSequences,tissueRemarks,fromTissue,tissueBlocked,biosampleAccession,DiagFALSEstics_bcid,Sample_bcid,expeditionCode,projectId
Wouter Beukema,Belgium,,2017,50.492792,5.195327,2017_BEL_21,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.155227,5.261291,2017_BEL_22,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.936207,4.839672,2017_BEL_23,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.936207,4.839672,2016_BEL_04,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2015,50.936207,4.839672,2015_BEL_04,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2017,50.760972,3.495953,2017_BEL_24,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.760972,3.495953,2016_BEL_05,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2015,50.760972,3.495953,2015_BEL_05,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2014,50.584708,5.584746,2014_BEL_01,,Salamandra,salamandra,,,,NA,TRUE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spitzen-van der Sluijs et al. 2016,,
Wouter Beukema,Belgium,,2017,50.651058,5.657861,2017_BEL_25,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.492301,4.95521,2017_BEL_26,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.492301,4.95521,2017_BEL_27,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,49.825593,5.729159,2017_BEL_28,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2017,50.957724,3.724506,2017_BEL_29,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
Wouter Beukema,Belgium,,2016,50.957724,3.724506,2016_BEL_06,,Salamandra,salamandra,,,,NA,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unpublished,,
