Count,Genus,Species,Location,Lat,Lon,Day,Month,Year,Date,Code,Bsal,Bd,RV,Fate,Notes
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0208,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0209,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0210,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0211,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0218,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0219,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0220,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0221,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0222,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0223,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0249,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0250,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0251,0,0,0,Returned,
1,Alytes,obstetricans,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0252,0,0,0,Returned,
1,Discoglossus,pictus,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0213,0,0,0,Returned,
1,Ichthyosaura ,alpestris,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0214,0,0,0,Removed,
1,Ichthyosaura ,alpestris,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0216,0,0,0,Removed,
1,Ichthyosaura ,alpestris,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0217,0,0,0,Removed,
1,Pelophylax,perezi,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0262,0,0,0,Returned,
1,Pelophylax,perezi,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0263,0,0,0,Returned,
1,Pelophylax,perezi,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0270,0,0,0,Returned,
1,Pelophylax,perezi,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0277,0,0,0,Returned,
1,Pelophylax,perezi,2 KM Buffer,41.665035,2.530639,12,6,2018,6/12/2018,DF0278,0,0,0,Returned,
1,Pelophylax,sp.,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0215,0,0,0,Returned,
1,Pelophylax,sp.,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0224,0,0,0,Returned,
1,Pelophylax,sp.,Park 1–10,41.66523,2.53082,12,6,2018,6/12/2018,DF0225,0,0,0,Returned,
