"L1","Lon","Lat","GID_2","GID_0","COUNTRY","GID_1","NAME_1","NL_NAME_1","NAME_2","VARNAME_2","NL_NAME_2","TYPE_2","ENGTYPE_2","CC_2","HASC_2"
44,5.584746,50.584708,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
45,5.657861,50.651058,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
46,5.74459,50.46889,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
47,5.74459,50.46889,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
48,5.74459,50.46889,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
49,5.74459,50.46889,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
50,5.769036971,50.582561,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
51,6.103064,50.45155,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
52,5.542909,50.594909,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
53,5.825166,50.528162,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
54,5.782921,50.54141,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
55,5.247461,50.56712,"BEL.3.3_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Liège","Luik|Liegi|Lieja|Lüttich",NA,"Province","Provincie",NA,"BE.LG"
56,5.729159,49.825593,"BEL.3.4_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Luxembourg","Lussemburgo|Luxemburg|Luxemburgo",NA,"Province","Provincie",NA,"BE.LX"
57,4.407116,50.087187,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
58,4.923994,50.406823,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
59,4.780233,50.404263,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
60,4.89063,50.216981,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
61,4.956019,50.2158,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
62,4.956019,50.2158,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
63,5.020961,50.413149,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
64,4.849232,50.202162,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
65,4.962908,50.335364,"BEL.3.5_1","BEL","Belgium","BEL.3_1","Wallonie",NA,"Namur","Namen",NA,"Province","Provincie",NA,"BE.NA"
