"decimalLongitude","decimalLatitude","L1","transLon","transLat"
9.002659,46.159648,124,4243876.22045901,2561249.8452638
9.002659,46.159648,125,4243876.22045901,2561249.8452638
9.002659,46.159648,126,4243876.22045901,2561249.8452638
9.002659,46.159648,127,4243876.22045901,2561249.8452638
9.002659,46.159648,128,4243876.22045901,2561249.8452638
9.002659,46.159648,129,4243876.22045901,2561249.8452638
9.002659,46.159648,130,4243876.22045901,2561249.8452638
9.002659,46.159648,131,4243876.22045901,2561249.8452638
9.002659,46.159648,132,4243876.22045901,2561249.8452638
9.002659,46.159648,133,4243876.22045901,2561249.8452638
9.002659,46.159648,134,4243876.22045901,2561249.8452638
9.002659,46.159648,135,4243876.22045901,2561249.8452638
9.002659,46.159648,136,4243876.22045901,2561249.8452638
9.002659,46.159648,137,4243876.22045901,2561249.8452638
9.002659,46.159648,138,4243876.22045901,2561249.8452638
9.002659,46.159648,139,4243876.22045901,2561249.8452638
9.002659,46.159648,140,4243876.22045901,2561249.8452638
9.002659,46.159648,141,4243876.22045901,2561249.8452638
9.002659,46.159648,142,4243876.22045901,2561249.8452638
9.002659,46.159648,143,4243876.22045901,2561249.8452638
9.002659,46.159648,144,4243876.22045901,2561249.8452638
9.002659,46.159648,145,4243876.22045901,2561249.8452638
9.002659,46.159648,146,4243876.22045901,2561249.8452638
9.002659,46.159648,147,4243876.22045901,2561249.8452638
9.002659,46.159648,148,4243876.22045901,2561249.8452638
9.002659,46.159648,149,4243876.22045901,2561249.8452638
9.002659,46.159648,150,4243876.22045901,2561249.8452638
9.002659,46.159648,151,4243876.22045901,2561249.8452638
9.002659,46.159648,152,4243876.22045901,2561249.8452638
9.002659,46.159648,153,4243876.22045901,2561249.8452638
9.002659,46.159648,154,4243876.22045901,2561249.8452638
9.002659,46.159648,155,4243876.22045901,2561249.8452638
9.002659,46.159648,156,4243876.22045901,2561249.8452638
9.002659,46.159648,157,4243876.22045901,2561249.8452638
9.002659,46.159648,158,4243876.22045901,2561249.8452638
9.002659,46.159648,159,4243876.22045901,2561249.8452638
9.002659,46.159648,160,4243876.22045901,2561249.8452638
9.002659,46.159648,161,4243876.22045901,2561249.8452638
9.002659,46.159648,162,4243876.22045901,2561249.8452638
9.002659,46.159648,163,4243876.22045901,2561249.8452638
9.002659,46.159648,164,4243876.22045901,2561249.8452638
9.002659,46.159648,165,4243876.22045901,2561249.8452638
9.002659,46.159648,166,4243876.22045901,2561249.8452638
9.002659,46.159648,167,4243876.22045901,2561249.8452638
9.002659,46.159648,168,4243876.22045901,2561249.8452638
9.002659,46.159648,169,4243876.22045901,2561249.8452638
9.002659,46.159648,170,4243876.22045901,2561249.8452638
9.002659,46.159648,171,4243876.22045901,2561249.8452638
9.002659,46.159648,172,4243876.22045901,2561249.8452638
9.002659,46.159648,173,4243876.22045901,2561249.8452638
9.002659,46.159648,174,4243876.22045901,2561249.8452638
9.002659,46.159648,175,4243876.22045901,2561249.8452638
9.002659,46.159648,176,4243876.22045901,2561249.8452638
9.002659,46.159648,177,4243876.22045901,2561249.8452638
9.002659,46.159648,178,4243876.22045901,2561249.8452638
9.002659,46.159648,179,4243876.22045901,2561249.8452638
9.002659,46.159648,180,4243876.22045901,2561249.8452638
9.002659,46.159648,181,4243876.22045901,2561249.8452638
9.002659,46.159648,182,4243876.22045901,2561249.8452638
9.002659,46.159648,183,4243876.22045901,2561249.8452638
9.002659,46.159648,184,4243876.22045901,2561249.8452638
