fid,L1,Lon,Lat,iucn_sr1
151,151,9.002659,46.159648,7
152,152,9.002659,46.159648,7
153,153,9.002659,46.159648,7
154,154,9.002659,46.159648,7
155,155,9.002659,46.159648,7
156,156,9.002659,46.159648,7
157,157,9.002659,46.159648,7
158,158,9.002659,46.159648,7
159,159,9.002659,46.159648,7
160,160,9.002659,46.159648,7
161,161,9.002659,46.159648,7
162,162,9.002659,46.159648,7
163,163,9.002659,46.159648,7
164,164,9.002659,46.159648,7
165,165,9.002659,46.159648,7
166,166,9.002659,46.159648,7
167,167,9.002659,46.159648,7
168,168,9.002659,46.159648,7
169,169,9.002659,46.159648,7
170,170,9.002659,46.159648,7
171,171,9.002659,46.159648,7
172,172,9.002659,46.159648,7
173,173,9.002659,46.159648,7
174,174,9.002659,46.159648,7
175,175,9.002659,46.159648,7
176,176,9.002659,46.159648,7
177,177,9.002659,46.159648,7
178,178,9.002659,46.159648,7
179,179,9.002659,46.159648,7
180,180,9.002659,46.159648,7
181,181,9.002659,46.159648,7
182,182,9.002659,46.159648,7
183,183,9.002659,46.159648,7
184,184,9.002659,46.159648,7
185,185,9.002659,46.159648,7
186,186,9.002659,46.159648,7
187,187,9.002659,46.159648,7
188,188,9.002659,46.159648,7
189,189,9.002659,46.159648,7
190,190,9.002659,46.159648,7
191,191,9.002659,46.159648,7
192,192,9.002659,46.159648,7
193,193,9.002659,46.159648,7
194,194,9.002659,46.159648,7
195,195,9.002659,46.159648,7
196,196,9.002659,46.159648,7
197,197,9.002659,46.159648,7
198,198,9.002659,46.159648,7
199,199,9.002659,46.159648,7
200,200,9.002659,46.159648,7
201,201,9.002659,46.159648,7
202,202,9.002659,46.159648,7
203,203,9.002659,46.159648,7
204,204,9.002659,46.159648,7
205,205,9.002659,46.159648,7
206,206,9.002659,46.159648,7
207,207,9.002659,46.159648,7
208,208,9.002659,46.159648,7
209,209,9.002659,46.159648,7
210,210,9.002659,46.159648,7
211,211,9.002659,46.159648,7
212,212,9.002659,46.159648,7
213,213,9.002659,46.159648,7
214,214,9.002659,46.159648,7
215,215,9.002659,46.159648,7
216,216,9.002659,46.159648,7
217,217,9.002659,46.159648,7
218,218,9.002659,46.159648,7
219,219,9.002659,46.159648,7
220,220,9.002659,46.159648,7
221,221,9.002659,46.159648,7
222,222,9.002659,46.159648,7
223,223,9.002659,46.159648,7
224,224,9.002659,46.159648,7
225,225,9.002659,46.159648,7
226,226,9.002659,46.159648,7
227,227,9.002659,46.159648,7
228,228,9.002659,46.159648,7
229,229,9.002659,46.159648,7
230,230,9.002659,46.159648,7
231,231,9.002659,46.159648,7
232,232,9.002659,46.159648,7
233,233,9.002659,46.159648,7
234,234,9.002659,46.159648,7
235,235,9.002659,46.159648,7
236,236,9.002659,46.159648,7
237,237,9.002659,46.159648,7
238,238,9.002659,46.159648,7
239,239,9.002659,46.159648,7
240,240,9.002659,46.159648,7
241,241,9.002659,46.159648,7
242,242,9.002659,46.159648,7
243,243,9.002659,46.159648,7
244,244,9.002659,46.159648,7
245,245,9.002659,46.159648,7
246,246,9.002659,46.159648,7
247,247,9.002659,46.159648,7
248,248,9.002659,46.159648,7
249,249,9.002659,46.159648,7
250,250,9.002659,46.159648,7
251,251,9.002659,46.159648,7
252,252,9.002659,46.159648,7
253,253,9.002659,46.159648,7
254,254,9.002659,46.159648,7
255,255,9.002659,46.159648,7
256,256,9.002659,46.159648,7
257,257,9.002659,46.159648,7
258,258,9.002659,46.159648,7
259,259,9.002659,46.159648,7
260,260,9.002659,46.159648,7
261,261,9.002659,46.159648,7
