"Lat","Lon","timepoint","year","month","day"
51.541882,6.833255,"t60",2019,2,9
50.70277,6.417944,"t30",2014,9,7
50.70277,6.417944,"t60",2014,8,8
50.637806,6.449917,"t30",2018,4,28
50.637806,6.449917,"t60",2018,3,29
50.057222,6.434027,"t30",2017,4,3
50.057222,6.434027,"t60",2017,3,4
50.583735,6.440269,"t30",2016,8,19
50.583735,6.440269,"t60",2016,7,20
50.75414,6.307838,"t30",2018,4,13
50.75414,6.307838,"t60",2018,3,14
49.856405,6.448139,"t30",2016,2,27
49.856405,6.448139,"t60",2016,1,28
50.735368,6.294149,"t30",2018,3,5
50.735368,6.294149,"t60",2018,2,3
50.657733,6.323633,"t30",2019,4,24
50.657733,6.323633,"t60",2019,3,25
50.756521,6.243033,"t30",2018,7,30
50.756521,6.243033,"t60",2018,6,30
50.657735,6.323635,"t30",2018,4,11
50.657735,6.323635,"t60",2018,3,12
49.856413,6.448147,"t30",2016,2,27
49.856413,6.448147,"t60",2016,1,28
50.717116,6.345695,"t30",2017,2,16
50.717116,6.345695,"t60",2017,1,17
51.382679,6.972078,"t30",2018,8,1
51.382679,6.972078,"t60",2018,7,2
50.70178,6.270098,"t30",2016,3,13
50.70178,6.270098,"t60",2016,2,12
50.735368,6.294149,"t30",2016,2,27
50.735368,6.294149,"t60",2016,1,28
50.574681,6.401072,"t30",2018,4,16
50.574681,6.401072,"t60",2018,3,17
50.735368,6.294149,"t30",2018,2,25
50.735368,6.294149,"t60",2018,1,26
51.403281,6.995988,"t30",2019,3,28
51.403281,6.995988,"t60",2019,2,26
50.735368,6.294149,"t30",2016,3,7
50.735368,6.294149,"t60",2016,2,6
50.081105,6.474474,"t30",2017,4,23
50.081105,6.474474,"t60",2017,3,24
50.707151,6.391554,"t30",2016,4,10
50.707151,6.391554,"t60",2016,3,11
50.102032,6.179619,"t30",2017,4,10
50.102032,6.179619,"t60",2017,3,11
50.770778,6.204713,"t30",2019,3,31
50.770778,6.204713,"t60",2019,3,1
50.779818,6.324636,"t30",2017,2,7
50.779818,6.324636,"t60",2017,1,8
50.707151,6.391554,"t30",2017,5,28
50.707151,6.391554,"t60",2017,4,28
50.747074,6.366392,"t30",2019,3,3
50.747074,6.366392,"t60",2019,2,1
51.403281,6.995988,"t30",2019,8,24
51.403281,6.995988,"t60",2019,7,25
51.541882,6.833255,"t30",2019,3,4
51.541882,6.833255,"t60",2019,2,2
50.717116,6.345695,"t30",2019,3,28
50.717116,6.345695,"t60",2019,2,26
50.753787,6.336002,"t30",2017,1,28
50.753787,6.336002,"t60",2016,12,29
49.856404,6.448138,"t30",2018,2,10
49.856404,6.448138,"t60",2018,1,11
51.382679,6.972078,"t30",2016,9,4
51.382679,6.972078,"t60",2016,8,5
49.976417,6.474156,"t30",2018,5,24
49.976417,6.474156,"t60",2018,4,24
50.595878,6.266865,"t30",2019,5,13
50.595878,6.266865,"t60",2019,4,13
50.619605,6.494605,"t30",2019,2,7
50.619605,6.494605,"t60",2019,1,8
50.55541,6.43618,"t30",2018,5,19
50.55541,6.43618,"t60",2018,4,19
51.541882,6.833255,"t30",2019,2,18
51.541882,6.833255,"t60",2019,1,19
50.218513,6.327964,"t30",2016,3,14
50.218513,6.327964,"t60",2016,2,13
51.52021,7.26652,"t30",2018,6,14
51.52021,7.26652,"t60",2018,5,15
51.141144,6.150484,"t30",2017,11,5
51.141144,6.150484,"t60",2017,10,6
50.764826,6.210666,"t30",2019,3,30
50.764826,6.210666,"t60",2019,2,28
50.70178,6.270098,"t30",2015,3,26
50.70178,6.270098,"t60",2015,2,24
51.32174,6.858843,"t30",2018,7,14
51.32174,6.858843,"t60",2018,6,14
50.672648,6.230209,"t30",2019,2,4
50.672648,6.230209,"t60",2019,1,5
50.266302,6.359258,"t30",2019,4,16
50.266302,6.359258,"t60",2019,3,17
50.735368,6.294149,"t30",2018,9,23
50.735368,6.294149,"t60",2018,8,24
50.266297,6.359253,"t30",2019,4,16
50.266297,6.359253,"t60",2019,3,17
51.054447,7.146356,"t30",2020,1,31
51.054447,7.146356,"t60",2020,1,1
50.081105,6.474474,"t30",2019,3,24
50.081105,6.474474,"t60",2019,2,22
50.70178,6.270098,"t30",2018,9,9
50.70178,6.270098,"t60",2018,8,10
51.338167,10.086917,"t30",2020,3,31
51.338167,10.086917,"t60",2020,3,1
51.392093,7.11252,"t30",2018,2,10
51.392093,7.11252,"t60",2018,1,11
50.225602,6.434867,"t30",2018,6,11
50.225602,6.434867,"t60",2018,5,12
50.735368,6.294149,"t30",2016,2,24
50.735368,6.294149,"t60",2016,1,25
50.726667,6.323306,"t30",2019,3,13
50.726667,6.323306,"t60",2019,2,11
51.403281,6.995988,"t30",2019,4,21
51.403281,6.995988,"t60",2019,3,22
50.70178,6.270098,"t30",2015,4,3
50.70178,6.270098,"t60",2015,3,4
50.578169,6.278448,"t30",2015,10,19
50.578169,6.278448,"t60",2015,9,19
49.919317,6.405269,"t30",2016,3,5
49.919317,6.405269,"t60",2016,2,4
51.403281,6.995988,"t30",2019,3,25
51.403281,6.995988,"t60",2019,2,23
50.676448,6.198452,"t30",2019,3,9
50.676448,6.198452,"t60",2019,2,7
50.70178,6.270098,"t30",2018,3,1
50.70178,6.270098,"t60",2018,1,30
50.239439,6.396522,"t30",2017,4,24
50.239439,6.396522,"t60",2017,3,25
51.418056,7.250944,"t30",2018,8,1
51.418056,7.250944,"t60",2018,7,2
50.509209,6.295323,"t30",2018,4,29
50.509209,6.295323,"t60",2018,3,30
51.431025,6.968945,"t30",2019,9,15
51.431025,6.968945,"t60",2019,8,16
52.024067,8.460353,"t30",2019,2,1
52.024067,8.460353,"t60",2019,1,2
50.726667,6.323306,"t30",2018,3,18
50.726667,6.323306,"t60",2018,2,16
51.541882,6.833255,"t30",2019,3,12
51.541882,6.833255,"t60",2019,2,10
50.578169,6.278448,"t30",2015,11,7
50.578169,6.278448,"t60",2015,10,8
51.435,7.1385,"t30",2019,5,4
51.435,7.1385,"t60",2019,4,4
49.971806,6.48175,"t30",2018,5,24
49.971806,6.48175,"t60",2018,4,24
50.734514,6.30931,"t30",2017,2,27
50.734514,6.30931,"t60",2017,1,28
51.562273,6.846767,"t30",2019,3,3
51.562273,6.846767,"t60",2019,2,1
50.70178,6.270098,"t30",2019,2,13
50.70178,6.270098,"t60",2019,1,14
51.437,7.257333,"t30",2018,4,24
51.437,7.257333,"t60",2018,3,25
50.039648,6.417938,"t30",2017,4,3
50.039648,6.417938,"t60",2017,3,4
50.613929,6.431371,"t30",2019,3,29
50.613929,6.431371,"t60",2019,2,27
50.613929,6.431371,"t30",2016,3,2
50.613929,6.431371,"t60",2016,2,1
50.756932,6.321338,"t30",2017,2,16
50.756932,6.321338,"t60",2017,1,17
50.152251,6.170181,"t30",2015,3,27
50.152251,6.170181,"t60",2015,2,25
51.32174,6.858843,"t30",2018,7,9
51.32174,6.858843,"t60",2018,6,9
50.239443,6.396526,"t30",2017,4,24
50.239443,6.396526,"t60",2017,3,25
50.095487,6.251199,"t30",2016,3,2
50.095487,6.251199,"t60",2016,2,1
50.868203,6.425354,"t30",2019,3,3
50.868203,6.425354,"t60",2019,2,1
51.458732,7.452578,"t30",2020,2,3
51.458732,7.452578,"t60",2020,1,4
50.738106,6.252416,"t30",2018,5,28
50.738106,6.252416,"t60",2018,4,28
49.864623,10.488179,"t30",2020,5,27
49.864623,10.488179,"t60",2020,4,27
50.266284,6.35924,"t30",2019,4,16
50.266284,6.35924,"t60",2019,3,17
50.756932,6.321338,"t30",2017,2,6
50.756932,6.321338,"t60",2017,1,7
50.266294,6.35925,"t30",2019,4,16
50.266294,6.35925,"t60",2019,3,17
50.747076,6.366394,"t30",2019,3,3
50.747076,6.366394,"t60",2019,2,1
49.849103,6.326625,"t30",2018,2,26
49.849103,6.326625,"t60",2018,1,27
50.14179,6.284316,"t30",2017,4,10
50.14179,6.284316,"t60",2017,3,11
50.266286,6.359242,"t30",2019,4,16
50.266286,6.359242,"t60",2019,3,17
50.947346,6.027223,"t30",2017,3,24
50.947346,6.027223,"t60",2017,2,22
49.856407,6.448141,"t30",2016,2,27
49.856407,6.448141,"t60",2016,1,28
51.448228,7.279486,"t30",2019,4,17
51.448228,7.279486,"t60",2019,3,18
50.314751,6.461713,"t30",2018,5,4
50.314751,6.461713,"t60",2018,4,4
51.455695,7.299677,"t30",2020,1,2
51.455695,7.299677,"t60",2019,12,3
50.789973,6.375219,"t30",2018,2,14
50.789973,6.375219,"t60",2018,1,15
50.756932,6.321338,"t30",2019,1,22
50.756932,6.321338,"t60",2018,12,23
51.541882,6.833255,"t30",2019,2,25
51.541882,6.833255,"t60",2019,1,26
50.009568,6.888018,"t30",2019,3,14
50.009568,6.888018,"t60",2019,2,12
49.920602,6.435246,"t30",2017,3,19
49.920602,6.435246,"t60",2017,2,17
50.756932,6.321338,"t30",2019,2,4
50.756932,6.321338,"t60",2019,1,5
50.113526,6.280058,"t30",2019,3,5
50.113526,6.280058,"t60",2019,2,3
50.735368,6.294149,"t30",2019,1,11
50.735368,6.294149,"t60",2018,12,12
51.403281,6.995988,"t30",2018,8,22
51.403281,6.995988,"t60",2018,7,23
49.864623,10.488179,"t30",2020,5,26
49.864623,10.488179,"t60",2020,4,26
50.550369,6.358216,"t30",2019,4,23
50.550369,6.358216,"t60",2019,3,24
51.437,7.257333,"t30",2018,2,13
51.437,7.257333,"t60",2018,1,14
50.613929,6.431371,"t30",2019,3,17
50.613929,6.431371,"t60",2019,2,15
50.75414,6.307838,"t30",2018,2,13
50.75414,6.307838,"t60",2018,1,14
51.562273,6.846767,"t30",2019,2,19
51.562273,6.846767,"t60",2019,1,20
51.66687,7.55198,"t30",2018,3,26
51.66687,7.55198,"t60",2018,2,24
49.828069,6.403899,"t30",2017,2,17
49.828069,6.403899,"t60",2017,1,18
50.756932,6.321338,"t30",2015,2,27
50.756932,6.321338,"t60",2015,1,28
49.890914,6.590448,"t30",2019,2,23
49.890914,6.590448,"t60",2019,1,24
51.771382,6.354609,"t30",2019,4,27
51.771382,6.354609,"t60",2019,3,28
50.593152,6.512388,"t30",2017,4,10
50.593152,6.512388,"t60",2017,3,11
50.095489,6.251201,"t30",2016,3,2
50.095489,6.251201,"t60",2016,2,1
51.562273,6.846767,"t30",2019,3,31
51.562273,6.846767,"t60",2019,3,1
50.747078,6.366396,"t30",2019,3,3
50.747078,6.366396,"t60",2019,2,1
50.707151,6.391554,"t30",2015,2,27
50.707151,6.391554,"t60",2015,1,28
50.209456,6.346912,"t30",2017,4,24
50.209456,6.346912,"t60",2017,3,25
50.756932,6.321338,"t30",2017,12,30
50.756932,6.321338,"t60",2017,11,30
50.266283,6.359239,"t30",2018,3,12
50.266283,6.359239,"t60",2018,2,10
50.578169,6.278448,"t30",2015,11,5
50.578169,6.278448,"t60",2015,10,6
50.257929,6.734642,"t30",2018,5,27
50.257929,6.734642,"t60",2018,4,27
50.095488,6.2512,"t30",2016,3,2
50.095488,6.2512,"t60",2016,2,1
50.758872,6.303565,"t30",2019,4,21
50.758872,6.303565,"t60",2019,3,22
51.390638,6.513952,"t30",2019,4,28
51.390638,6.513952,"t60",2019,3,29
51.431025,6.968945,"t30",2019,2,12
51.431025,6.968945,"t60",2019,1,13
50.55541,6.43618,"t30",2018,4,16
50.55541,6.43618,"t60",2018,3,17
50.55541,6.43618,"t30",2017,4,9
50.55541,6.43618,"t60",2017,3,10
51.66687,7.55198,"t30",2018,4,3
51.66687,7.55198,"t60",2018,3,4
50.421674,6.493919,"t30",2018,6,25
50.421674,6.493919,"t60",2018,5,26
49.849103,6.326625,"t30",2017,3,1
49.849103,6.326625,"t60",2017,1,30
51.418056,7.250944,"t30",2019,9,3
51.418056,7.250944,"t60",2019,8,4
50.266296,6.359252,"t30",2019,4,16
50.266296,6.359252,"t60",2019,3,17
50.747082,6.3664,"t30",2019,3,26
50.747082,6.3664,"t60",2019,2,24
51.403281,6.995988,"t30",2018,3,12
51.403281,6.995988,"t60",2018,2,10
50.057222,6.434027,"t30",2019,3,18
50.057222,6.434027,"t60",2019,2,16
50.726667,6.323306,"t30",2017,3,13
50.726667,6.323306,"t60",2017,2,11
51.41865,6.930562,"t30",2018,10,13
51.41865,6.930562,"t60",2018,9,13
50.746724,6.232078,"t30",2016,2,13
50.746724,6.232078,"t60",2016,1,14
51.41865,6.930562,"t30",2018,10,14
51.41865,6.930562,"t60",2018,9,14
49.919317,6.405269,"t30",2019,3,10
49.919317,6.405269,"t60",2019,2,8
50.657736,6.323636,"t30",2018,4,11
50.657736,6.323636,"t60",2018,3,12
50.726667,6.323306,"t30",2019,3,12
50.726667,6.323306,"t60",2019,2,10
50.095484,6.251196,"t30",2019,3,6
50.095484,6.251196,"t60",2019,2,4
49.856415,6.448149,"t30",2016,2,27
49.856415,6.448149,"t60",2016,1,28
50.70178,6.270098,"t30",2018,2,8
50.70178,6.270098,"t60",2018,1,9
50.764826,6.210666,"t30",2019,3,31
50.764826,6.210666,"t60",2019,3,1
50.681882,6.428362,"t30",2018,3,2
50.681882,6.428362,"t60",2018,1,31
50.578169,6.278448,"t30",2017,6,5
50.578169,6.278448,"t60",2017,5,6
50.70178,6.270098,"t30",2019,2,4
50.70178,6.270098,"t60",2019,1,5
50.568565,6.202638,"t30",2019,5,13
50.568565,6.202638,"t60",2019,4,13
51.8,9.49,"t30",2020,3,31
51.8,9.49,"t60",2020,3,1
50.053375,6.213533,"t30",2016,2,29
50.053375,6.213533,"t60",2016,1,30
51.431025,6.968945,"t30",2019,4,23
51.431025,6.968945,"t60",2019,3,24
50.113526,6.280058,"t30",2019,3,6
50.113526,6.280058,"t60",2019,2,4
50.676448,6.198452,"t30",2019,4,1
50.676448,6.198452,"t60",2019,3,2
49.856414,6.448148,"t30",2016,2,27
49.856414,6.448148,"t60",2016,1,28
51.423306,7.033296,"t30",2019,2,26
51.423306,7.033296,"t60",2019,1,27
49.856406,6.44814,"t30",2016,2,27
49.856406,6.44814,"t60",2016,1,28
51.403281,6.995988,"t30",2019,1,30
51.403281,6.995988,"t60",2018,12,31
50.70277,6.417944,"t30",2014,9,8
50.70277,6.417944,"t60",2014,8,9
50.657733,6.323633,"t30",2019,4,9
50.657733,6.323633,"t60",2019,3,10
51.511293,7.235178,"t30",2019,7,21
51.511293,7.235178,"t60",2019,6,21
50.508012,6.245711,"t30",2018,4,18
50.508012,6.245711,"t60",2018,3,19
51.403281,6.995988,"t30",2018,12,4
51.403281,6.995988,"t60",2018,11,4
50.764144,6.371654,"t30",2018,3,11
50.764144,6.371654,"t60",2018,2,9
